alpha_2_code,alpha_3_code,numeric_code,language_alpha_2_code,language_alpha_3_code,is_administrative,sorting_order
"AC","ASC","","en","eng","NO",""
"AD","AND","020","ca","cat","YES",""
"AD","AND","020","en","eng","NO",""
"AD","AND","020","fr","fra","NO",""
"AE","ARE","784","ar","ara","YES",""
"AE","ARE","784","en","eng","NO",""
"AE","ARE","784","fr","fra","NO",""
"AF","AFG","004","en","eng","NO",""
"AF","AFG","004","fa","fas","YES",""
"AF","AFG","004","fr","fra","NO",""
"AF","AFG","004","ps","pus","YES",""
"AG","ATG","028","en","eng","YES",""
"AG","ATG","028","fr","fra","NO",""
"AI","AIA","660","en","eng","YES",""
"AI","AIA","660","fr","fra","NO",""
"AI","AFI","","en","eng","NO",""
"AI","AFI","","fr","fra","NO",""
"AL","ALB","008","en","eng","NO",""
"AL","ALB","008","fr","fra","NO",""
"AL","ALB","008","sq","sqi","YES","Albanian sorting order: a-c, ç, d, dh, e, ë, f-g, gj, h-l, ll, m-n, nj, o-r, rr, s, sh, t, th, u-x, xh, y-z, zh"
"AM","ARM","051","en","eng","NO",""
"AM","ARM","051","fr","fra","NO",""
"AM","ARM","051","hy","hye","YES",""
"AN","ANT","530","en","eng","NO",""
"AN","ANT","530","fr","fra","NO",""
"AO","AGO","024","en","eng","NO",""
"AO","AGO","024","fr","fra","NO",""
"AO","AGO","024","pt","por","YES",""
"AP","","","en","eng","NO",""
"AQ","ATA","010","en","eng","NO",""
"AQ","ATA","010","fr","fra","NO",""
"AR","ARG","032","en","eng","NO",""
"AR","ARG","032","fr","fra","NO",""
"AR","ARG","032","es","spa","YES",""
"AS","ASM","016","en","eng","YES",""
"AS","ASM","016","fr","fra","NO",""
"AT","AUT","040","de","deu","YES",""
"AT","AUT","040","en","eng","NO",""
"AT","AUT","040","fr","fra","NO",""
"AU","AUS","036","en","eng","YES",""
"AU","AUS","036","fr","fra","NO",""
"AW","ABW","533","en","eng","NO",""
"AW","ABW","533","fr","fra","NO",""
"AW","ABW","533","nl","nld","YES",""
"AW","ABW","533","","pap","YES",""
"AX","ALA","248","en","eng","NO",""
"AX","ALA","248","fr","fra","NO",""
"AX","ALA","248","sv","swe","YES",""
"AZ","AZE","031","az","aze","YES"," Azeri sorting order:   a-c, ç, d, e, ə, f, g, ğ, h, x, ı, i, j, k, q, l-o, ö, p, r, s, ş, t, u, ü, v, (w), y, z"
"AZ","AZE","031","en","eng","NO",""
"AZ","AZE","031","fr","fra","NO",""
"BA","BIH","070","bs","bos","YES",""
"BA","BIH","070","en","eng","NO",""
"BA","BIH","070","fr","fra","NO",""
"BA","BIH","070","hr","hrv","YES",""
"BA","BIH","070","sr","srp","YES",""
"BB","BRB","052","en","eng","YES",""
"BB","BRB","052","fr","fra","NO",""
"BD","BGD","050","bn","ben","YES",""
"BD","BGD","050","en","eng","NO",""
"BD","BGD","050","fr","fra","NO",""
"BE","BEL","056","de","deu","YES",""
"BE","BEL","056","en","eng","NO",""
"BE","BEL","056","fr","fra","YES",""
"BE","BEL","056","nl","nld","YES",""
"BF","BFA","854","en","eng","NO",""
"BF","BFA","854","fr","fra","YES",""
"BG","BGR","100","bg","bul","YES",""
"BG","BGR","100","en","eng","NO",""
"BG","BGR","100","fr","fra","NO",""
"BH","BHR","048","ar","ara","YES",""
"BH","BHR","048","en","eng","NO",""
"BH","BHR","048","fr","fra","NO",""
"BI","BDI","108","en","eng","NO",""
"BI","BDI","108","fr","fra","YES",""
"BI","BDI","108","rn","run","YES",""
"BJ","BEN","204","en","eng","NO",""
"BJ","BEN","204","fr","fra","YES",""
"BL","BLM","652","en","eng","NO",""
"BL","BLM","652","fr","fra","YES",""
"BM","BMU","060","en","eng","YES",""
"BM","BMU","060","fr","fra","NO",""
"BN","BRN","096","en","eng","YES",""
"BN","BRN","096","fr","fra","NO",""
"BN","BRN","096","ms","msa","YES",""
"BO","BOL","068","en","eng","NO",""
"BO","BOL","068","fr","fra","NO",""
"BO","BOL","068","es","spa","YES","Spanish sorting order: a-n, ñ, o-z"
"BQ","BES","535","en","eng","YES",""
"BQ","BES","535","fr","fra","NO",""
"BQ","BES","535","nl","nld","YES",""
"BQ","BES","535","","pap","YES",""
"BQ","ATB","","en","eng","NO",""
"BQ","ATB","","fr","fra","NO",""
"BR","BRA","076","en","eng","NO",""
"BR","BRA","076","fr","fra","NO",""
"BR","BRA","076","pt","por","YES",""
"BS","BHS","044","en","eng","YES",""
"BS","BHS","044","fr","fra","NO",""
"BT","BTN","064","dz","dzo","YES",""
"BT","BTN","064","en","eng","NO",""
"BT","BTN","064","fr","fra","NO",""
"BU","BUR","104","en","eng","NO",""
"BU","BUR","104","fr","fra","NO",""
"BV","BVT","074","en","eng","NO",""
"BV","BVT","074","fr","fra","NO",""
"BV","BVT","074","nn","nno","YES",""
"BV","BVT","074","nb","nob","YES",""
"BW","BWA","072","en","eng","YES",""
"BW","BWA","072","fr","fra","NO",""
"BX","","","en","eng","NO",""
"BY","BYS","112","en","eng","NO",""
"BY","BYS","112","fr","fra","NO",""
"BY","BLR","112","be","bel","YES",""
"BY","BLR","112","en","eng","NO",""
"BY","BLR","112","fr","fra","NO",""
"BY","BLR","112","ru","rus","YES",""
"BZ","BLZ","084","en","eng","YES",""
"BZ","BLZ","084","fr","fra","NO",""
"CA","CAN","124","en","eng","YES",""
"CA","CAN","124","fr","fra","YES",""
"CC","CCK","166","en","eng","YES",""
"CC","CCK","166","fr","fra","NO",""
"CD","COD","180","en","eng","NO",""
"CD","COD","180","fr","fra","YES",""
"CF","CAF","140","en","eng","NO",""
"CF","CAF","140","fr","fra","YES",""
"CF","CAF","140","sg","sag","YES",""
"CG","COG","178","en","eng","NO",""
"CG","COG","178","fr","fra","YES",""
"CH","CHE","756","de","deu","YES",""
"CH","CHE","756","en","eng","NO",""
"CH","CHE","756","fr","fra","YES",""
"CH","CHE","756","it","ita","YES",""
"CH","CHE","756","rm","roh","YES",""
"CI","CIV","384","en","eng","NO",""
"CI","CIV","384","fr","fra","YES",""
"CK","COK","184","en","eng","YES",""
"CK","COK","184","fr","fra","NO",""
"CL","CHL","152","en","eng","NO",""
"CL","CHL","152","fr","fra","NO",""
"CL","CHL","152","es","spa","YES",""
"CM","CMR","120","en","eng","YES",""
"CM","CMR","120","fr","fra","YES",""
"CN","CHN","156","en","eng","NO",""
"CN","CHN","156","fr","fra","NO",""
"CN","CHN","156","zh","zho","YES",""
"CO","COL","170","en","eng","NO",""
"CO","COL","170","fr","fra","NO",""
"CO","COL","170","es","spa","YES","Spanish sorting order: a- n, ñ, o-z"
"CP","CPT","","en","eng","NO",""
"CR","CRI","188","en","eng","NO",""
"CR","CRI","188","fr","fra","NO",""
"CR","CRI","188","es","spa","YES",""
"CS","CSK","200","en","eng","NO",""
"CS","CSK","200","fr","fra","NO",""
"CS","SCG","891","en","eng","NO",""
"CS","SCG","891","fr","fra","NO",""
"CT","CTE","128","en","eng","NO",""
"CT","CTE","128","fr","fra","NO",""
"CU","CUB","192","en","eng","NO",""
"CU","CUB","192","fr","fra","NO",""
"CU","CUB","192","es","spa","YES",""
"CV","CPV","132","en","eng","NO",""
"CV","CPV","132","fr","fra","NO",""
"CV","CPV","132","pt","por","YES",""
"CW","CUW","531","en","eng","YES",""
"CW","CUW","531","fr","fra","NO",""
"CW","CUW","531","nl","nld","YES",""
"CW","CUW","531","","pap","YES",""
"CX","CXR","162","en","eng","YES",""
"CX","CXR","162","fr","fra","NO",""
"CY","CYP","196","el","ell","YES",""
"CY","CYP","196","en","eng","NO",""
"CY","CYP","196","fr","fra","NO",""
"CY","CYP","196","tr","tur","YES",""
"CZ","CZE","203","cs","ces","YES","Czech sorting order: a (á) b c č d (ď) e (é) (ě) f g h ch i (í) j k l m n (ň) o (ó) p (q) r ř s š t (ť) u (ú) (ů) v (w) (x) y (ý) z ž"
"CZ","CZE","203","en","eng","NO",""
"CZ","CZE","203","fr","fra","NO",""
"DD","DDR","278","en","eng","NO",""
"DD","DDR","278","fr","fra","NO",""
"DE","DEU","276","de","deu","YES",""
"DE","DEU","276","en","eng","NO",""
"DE","DEU","276","fr","fra","NO",""
"DG","DGA","","en","eng","NO",""
"DJ","DJI","262","ar","ara","YES",""
"DJ","DJI","262","en","eng","NO",""
"DJ","DJI","262","fr","fra","YES",""
"DK","DNK","208","da","dan","YES","Danish sorting order:  a-z, æ, ø, å"
"DK","DNK","208","en","eng","NO",""
"DK","DNK","208","fr","fra","NO",""
"DM","DMA","212","en","eng","YES",""
"DM","DMA","212","fr","fra","NO",""
"DO","DOM","214","en","eng","NO",""
"DO","DOM","214","fr","fra","NO",""
"DO","DOM","214","es","spa","YES",""
"DY","","","en","eng","NO",""
"DY","DHY","","en","eng","NO",""
"DY","DHY","","fr","fra","NO",""
"DZ","DZA","012","ar","ara","YES",""
"DZ","DZA","012","en","eng","NO",""
"DZ","DZA","012","fr","fra","NO",""
"EA","","","en","eng","NO",""
"EC","ECU","218","en","eng","NO",""
"EC","ECU","218","fr","fra","NO",""
"EC","ECU","218","es","spa","YES",""
"EE","EST","233","en","eng","NO",""
"EE","EST","233","et","est","YES","Estonian sorting order: a-s, š, z, ž, t-v, õ, ä, ö, ü"
"EE","EST","233","fr","fra","NO",""
"EF","","","en","eng","NO",""
"EG","EGY","818","ar","ara","YES",""
"EG","EGY","818","en","eng","NO",""
"EG","EGY","818","fr","fra","NO",""
"EH","ESH","732","ar","ara","YES",""
"EH","ESH","732","en","eng","NO",""
"EH","ESH","732","fr","fra","NO",""
"EM","","","en","eng","NO",""
"EP","","","en","eng","NO",""
"ER","ERI","232","ar","ara","YES",""
"ER","ERI","232","en","eng","YES",""
"ER","ERI","232","fr","fra","NO",""
"ER","ERI","232","ti","tir","YES",""
"ES","ESP","724","en","eng","NO",""
"ES","ESP","724","fr","fra","NO",""
"ES","ESP","724","es","spa","YES",""
"ET","ETH","231","am","amh","YES",""
"ET","ETH","231","en","eng","NO",""
"ET","ETH","231","fr","fra","NO",""
"EU","","","en","eng","NO",""
"EV","","","en","eng","NO",""
"EW","","","en","eng","NO",""
"FI","FIN","246","en","eng","NO",""
"FI","FIN","246","fi","fin","YES","Finnish sorting order: a – z, å, ä, ö
"
"FI","FIN","246","fr","fra","NO",""
"FI","FIN","246","sv","swe","YES","Swedish sorting order: a – z, å, ä, ö"
"FJ","FJI","242","en","eng","YES",""
"FJ","FJI","242","fj","fij","YES",""
"FJ","FJI","242","fr","fra","NO",""
"FK","FLK","238","en","eng","YES",""
"FK","FLK","238","fr","fra","NO",""
"FL","","","en","eng","NO",""
