alpha_2_code,alpha_3_code,numeric_code,category_id,language,language_alpha_3_code,category_name,category_name_plural
"AD","AND","020","262","ca","cat","parròquia",""
"AD","AND","020","262","en","eng","parish","parishes"
"AD","AND","020","262","fr","fra","paroisse",""
"AE","ARE","784","199","ar","ara","imārah",""
"AE","ARE","784","199","en","eng","emirate","emirates"
"AE","ARE","784","199","fr","fra","émirat",""
"AF","AFG","004","321","en","eng","province","provinces"
"AF","AFG","004","321","fa","fas","wilāyat",""
"AF","AFG","004","321","fr","fra","province",""
"AF","AFG","004","321","ps","pus","wilāyat",""
"AG","ATG","028","298","en","eng","dependency","dependencies"
"AG","ATG","028","298","fr","fra","dépendance",""
"AG","ATG","028","429","en","eng","parish","parishes"
"AG","ATG","028","429","fr","fra","paroisse",""
"AL","ALB","008","322","en","eng","county","counties"
"AL","ALB","008","322","fr","fra","comté",""
"AL","ALB","008","322","sq","sqi","qark",""
"AM","ARM","051","106","en","eng","region","regions"
"AM","ARM","051","106","fr","fra","région",""
"AM","ARM","051","106","hy","hye","marz",""
"AM","ARM","051","189","en","eng","city",""
"AM","ARM","051","189","fr","fra","ville",""
"AM","ARM","051","189","hy","hye","k'aġak'",""
"AO","AGO","024","155","en","eng","province","provinces"
"AO","AGO","024","155","fr","fra","province",""
"AO","AGO","024","155","pt","por","província",""
"AR","ARG","032","107","en","eng","province","provinces"
"AR","ARG","032","107","fr","fra","province",""
"AR","ARG","032","107","es","spa","provincia",""
"AR","ARG","032","182","en","eng","city",""
"AR","ARG","032","182","fr","fra","ville",""
"AR","ARG","032","182","es","spa","ciudad",""
"AT","AUT","040","392","de","deu","Bundesland",""
"AT","AUT","040","392","en","eng","state","states"
"AT","AUT","040","392","fr","fra","État",""
"AU","AUS","036","324","en","eng","territory","territories"
"AU","AUS","036","324","fr","fra","territoire",""
"AU","AUS","036","393","en","eng","state","states"
"AU","AUS","036","393","fr","fra","État",""
"AZ","AZE","031","108","az","aze","şәhәr",""
"AZ","AZE","031","108","en","eng","municipality","municipalities"
"AZ","AZE","031","108","fr","fra","municipalité","municipalités"
"AZ","AZE","031","325","az","aze","rayon",""
"AZ","AZE","031","325","en","eng","rayon","rayons"
"AZ","AZE","031","325","fr","fra","district",""
"AZ","AZE","031","357","az","aze","muxtar respublika",""
"AZ","AZE","031","357","en","eng","autonomous republic",""
"AZ","AZE","031","357","fr","fra","république autonome",""
"BA","BIH","070","237","bs","bos","entitet",""
"BA","BIH","070","237","en","eng","entity","entities"
"BA","BIH","070","237","fr","fra","entité",""
"BA","BIH","070","237","hr","hrv","entitet",""
"BA","BIH","070","237","sr","srp","entitet",""
"BA","BIH","070","438","bs","bos","distrikt",""
"BA","BIH","070","438","en","eng","district with special status",""
"BA","BIH","070","438","fr","fra","district",""
"BA","BIH","070","438","hr","hrv","distrikt",""
"BA","BIH","070","438","sr","srp","distrikt",""
"BB","BRB","052","430","en","eng","parish","parishes"
"BB","BRB","052","430","fr","fra","paroisse",""
"BD","BGD","050","149","bn","ben","zila",""
"BD","BGD","050","149","en","eng","district","districts"
"BD","BGD","050","149","fr","fra","district",""
"BD","BGD","050","274","bn","ben","bibhag",""
"BD","BGD","050","274","en","eng","division","divisions"
"BD","BGD","050","274","fr","fra","division",""
"BE","BEL","056","390","de","deu","Provinz",""
"BE","BEL","056","390","en","eng","province","provinces"
"BE","BEL","056","390","fr","fra","province",""
"BE","BEL","056","390","nl","nld","provincie",""
"BE","BEL","056","391","de","deu","Region",""
"BE","BEL","056","391","en","eng","region","regions"
"BE","BEL","056","391","fr","fra","région",""
"BE","BEL","056","391","nl","nld","gewest",""
"BF","BFA","854","192","en","eng","region","regions"
"BF","BFA","854","192","fr","fra","région",""
"BF","BFA","854","235","en","eng","province","provinces"
"BF","BFA","854","235","fr","fra","province",""
"BG","BGR","100","361","bg","bul","oblast",""
"BG","BGR","100","361","en","eng","district","districts"
"BG","BGR","100","361","fr","fra","district",""
"BH","BHR","048","338","ar","ara","muḩāfaz̧ah",""
"BH","BHR","048","338","en","eng","governorate","governorates"
"BH","BHR","048","338","fr","fra","gouvernorat",""
"BI","BDI","108","275","en","eng","province","provinces"
"BI","BDI","108","275","fr","fra","province",""
"BI","BDI","108","275","rn","run","iprovense",""
"BJ","BEN","204","276","en","eng","department","departments"
"BJ","BEN","204","276","fr","fra","département",""
"BN","BRN","096","362","en","eng","district","districts"
"BN","BRN","096","362","fr","fra","district",""
"BN","BRN","096","362","ms","msa","daerah",""
"BO","BOL","068","231","en","eng","department","departments"
"BO","BOL","068","231","fr","fra","département",""
"BO","BOL","068","231","es","spa","departamento",""
"BQ","BES","535","272","en","eng","special municipality",""
"BQ","BES","535","272","fr","fra","commune speciale",""
"BQ","BES","535","272","nl","nld","bijzondere gemeente",""
"BQ","BES","535","272","","pap","munisipio spesial",""
"BR","BRA","076","193","en","eng","state","states"
"BR","BRA","076","193","fr","fra","État",""
"BR","BRA","076","193","pt","por","estado",""
"BR","BRA","076","403","en","eng","federal district",""
"BR","BRA","076","403","fr","fra","district fédéral",""
"BR","BRA","076","403","pt","por","distrito federal",""
"BS","BHS","044","100","en","eng","district","districts"
"BS","BHS","044","100","fr","fra","district",""
"BS","BHS","044","474","en","eng","island","islands"
"BS","BHS","044","474","fr","fra","île","îles"
"BT","BTN","064","152","dz","dzo","dzongkhag",""
"BT","BTN","064","152","en","eng","district","districts"
"BT","BTN","064","152","fr","fra","district",""
"BW","BWA","072","277","en","eng","district","districts"
"BW","BWA","072","277","fr","fra","district",""
"BW","BWA","072","447","en","eng","town","towns"
"BW","BWA","072","447","fr","fra","chef-lieu",""
"BW","BWA","072","448","en","eng","city","cities"
"BW","BWA","072","448","fr","fra","ville",""
"BY","BLR","112","102","be","bel","horad",""
"BY","BLR","112","102","en","eng","city",""
"BY","BLR","112","102","fr","fra","ville",""
"BY","BLR","112","102","ru","rus","gorod",""
"BY","BLR","112","411","be","bel","voblasts' / voblasc'",""
"BY","BLR","112","411","en","eng","oblast","oblasts"
"BY","BLR","112","411","fr","fra","région",""
"BY","BLR","112","411","ru","rus","oblast'",""
"BZ","BLZ","084","297","en","eng","district","districts"
"BZ","BLZ","084","297","fr","fra","district",""
"CA","CAN","124","233","en","eng","territory","territories"
"CA","CAN","124","233","fr","fra","territoire",""
"CA","CAN","124","412","en","eng","province","provinces"
"CA","CAN","124","412","fr","fra","province",""
"CD","COD","180","278","en","eng","province","provinces"
"CD","COD","180","278","fr","fra","province",""
"CD","COD","180","404","en","eng","city",""
"CD","COD","180","404","fr","fra","ville",""
"CF","CAF","140","194","en","eng","economic prefecture","economic prefectures"
"CF","CAF","140","194","fr","fra","préfecture économique",""
"CF","CAF","140","194","sg","sag","sêse tî kömändâ-kötä",""
"CF","CAF","140","339","en","eng","prefecture","prefectures"
"CF","CAF","140","339","fr","fra","préfecture",""
"CF","CAF","140","339","sg","sag","sêse tî kömändâ-kötä",""
"CF","CAF","140","446","en","eng","commune",""
"CF","CAF","140","446","fr","fra","commune",""
"CF","CAF","140","446","sg","sag","kötä gbätä",""
"CG","COG","178","279","en","eng","department","departments"
"CG","COG","178","279","fr","fra","département","départements"
"CH","CHE","756","153","de","deu","Kanton",""
"CH","CHE","756","153","en","eng","canton","cantons"
"CH","CHE","756","153","fr","fra","canton",""
"CH","CHE","756","153","it","ita","cantone",""
"CH","CHE","756","153","rm","roh","chantun",""
"CI","CIV","384","460","en","eng","autonomous district","autonomous districts"
"CI","CIV","384","460","fr","fra","district autonome",""
"CI","CIV","384","461","en","eng","district","districts"
"CI","CIV","384","461","fr","fra","district",""
"CL","CHL","152","364","en","eng","region","regions"
"CL","CHL","152","364","fr","fra","région",""
"CL","CHL","152","364","es","spa","región",""
"CM","CMR","120","130","en","eng","region","regions"
"CM","CMR","120","130","fr","fra","région",""
"CN","CHN","156","103","en","eng","province","provinces"
"CN","CHN","156","103","fr","fra","province",""
"CN","CHN","156","103","zh","zho","sheng",""
"CN","CHN","156","195","en","eng","autonomous region","autonomous regions"
"CN","CHN","156","195","fr","fra","région autonome",""
"CN","CHN","156","195","zh","zho","zizhiqu",""
"CN","CHN","156","268","en","eng","special administrative region","special administrative regions"
"CN","CHN","156","268","fr","fra","région administrative spéciale",""
"CN","CHN","156","268","zh","zho","tebie xingzhengqu",""
"CN","CHN","156","397","en","eng","municipality","municipalities"
"CN","CHN","156","397","fr","fra","municipalité",""
"CN","CHN","156","397","zh","zho","shi",""
"CO","COL","170","104","en","eng","department","departments"
"CO","COL","170","104","fr","fra","département",""
"CO","COL","170","104","es","spa","departamento",""
"CO","COL","170","143","en","eng","capital district",""
"CO","COL","170","143","fr","fra","district de la capitale",""
