alpha_2_code,alpha_3_code,numeric_code,subdivision_category_id,subdivision_code,language,language_alpha_3_code,subdivision_name,subdivision_name_local_variation,romanization_system
"AD","AND","020","262","AD-02","ca","cat","Canillo","",""
"AD","AND","020","262","AD-03","ca","cat","Encamp","",""
"AD","AND","020","262","AD-04","ca","cat","La Massana","",""
"AD","AND","020","262","AD-05","ca","cat","Ordino","",""
"AD","AND","020","262","AD-06","ca","cat","Sant Julià de Lòria","",""
"AD","AND","020","262","AD-07","ca","cat","Andorra la Vella","",""
"AD","AND","020","262","AD-08","ca","cat","Escaldes-Engordany","",""
"AE","ARE","784","199","AE-AJ","ar","ara","‘Ajmān","","BGN/PCGN 1956"
"AE","ARE","784","199","AE-AZ","ar","ara","Abū Z̧aby","Abu Dhabi","BGN/PCGN 1956"
"AE","ARE","784","199","AE-DU","ar","ara","Dubayy","Dubai","BGN/PCGN 1956"
"AE","ARE","784","199","AE-FU","ar","ara","Al Fujayrah","Fujairah","BGN/PCGN 1956"
"AE","ARE","784","199","AE-RK","ar","ara","Ra’s al Khaymah","Ras Al Khaimah","BGN/PCGN 1956"
"AE","ARE","784","199","AE-SH","ar","ara","Ash Shāriqah","Sharjah","BGN/PCGN 1956"
"AE","ARE","784","199","AE-UQ","ar","ara","Umm al Qaywayn","Umm Al Quwain","BGN/PCGN 1956"
"AF","AFG","004","321","AF-BAL","fa","fas","Balkh","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BAL","ps","pus","Balkh","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BAM","fa","fas","Bāmyān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BAM","ps","pus","Bāmyān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BDG","fa","fas","Bādghīs","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BDG","ps","pus","Bādghīs","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BDS","fa","fas","Badakhshān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BDS","ps","pus","Badakhshān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BGL","fa","fas","Baghlān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-BGL","ps","pus","Baghlān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-DAY","fa","fas","Dāykundī","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-DAY","ps","pus","Dāykundī","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-FRA","fa","fas","Farāh","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-FRA","ps","pus","Farāh","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-FYB","fa","fas","Fāryāb","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-FYB","ps","pus","Fāryāb","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-GHA","fa","fas","Ghaznī","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-GHA","ps","pus","Ghaznī","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-GHO","fa","fas","Ghōr","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-GHO","ps","pus","Ghōr","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-HEL","fa","fas","Helmand","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-HEL","ps","pus","Helmand","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-HER","fa","fas","Herāt","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-HER","ps","pus","Herāt","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-JOW","fa","fas","Jowzjān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-JOW","ps","pus","Jowzjān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KAB","fa","fas","Kābul","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KAB","ps","pus","Kābul","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KAN","fa","fas","Kandahār","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KAN","ps","pus","Kandahār","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KAP","fa","fas","Kāpīsā","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KAP","ps","pus","Kāpīsā","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KDZ","fa","fas","Kunduz","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KDZ","ps","pus","Kunduz","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KHO","fa","fas","Khōst","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KHO","ps","pus","Khōst","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KNR","fa","fas","Kunaṟ","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-KNR","ps","pus","Kunaṟ","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-LAG","fa","fas","Laghmān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-LAG","ps","pus","Laghmān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-LOG","fa","fas","Lōgar","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-LOG","ps","pus","Lōgar","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-NAN","fa","fas","Nangarhār","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-NAN","ps","pus","Nangarhār","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-NIM","fa","fas","Nīmrōz","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-NIM","ps","pus","Nīmrōz","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-NUR","fa","fas","Nūristān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-NUR","ps","pus","Nūristān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PAN","fa","fas","Panjshayr","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PAN","ps","pus","Panjshayr","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PAR","fa","fas","Parwān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PAR","ps","pus","Parwān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PIA","fa","fas","Paktiyā","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PIA","ps","pus","Paktiyā","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PKA","fa","fas","Paktīkā","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-PKA","ps","pus","Paktīkā","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-SAM","fa","fas","Samangān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-SAM","ps","pus","Samangān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-SAR","fa","fas","Sar-e Pul","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-SAR","ps","pus","Sar-e Pul","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-TAK","fa","fas","Takhār","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-TAK","ps","pus","Takhār","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-URU","fa","fas","Uruzgān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-URU","ps","pus","Uruzgān","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-WAR","fa","fas","Wardak","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-WAR","ps","pus","Wardak","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-ZAB","fa","fas","Zābul","","BGN/PCGN 2007"
"AF","AFG","004","321","AF-ZAB","ps","pus","Zābul","","BGN/PCGN 2007"
"AG","ATG","028","298","AG-10","en","eng","Barbuda","",""
"AG","ATG","028","298","AG-11","en","eng","Redonda","",""
"AG","ATG","028","429","AG-03","en","eng","Saint George","",""
"AG","ATG","028","429","AG-04","en","eng","Saint John","",""
"AG","ATG","028","429","AG-05","en","eng","Saint Mary","",""
"AG","ATG","028","429","AG-06","en","eng","Saint Paul","",""
"AG","ATG","028","429","AG-07","en","eng","Saint Peter","",""
"AG","ATG","028","429","AG-08","en","eng","Saint Philip","",""
"AL","ALB","008","322","AL-01","sq","sqi","Berat","",""
"AL","ALB","008","322","AL-02","sq","sqi","Durrës","",""
"AL","ALB","008","322","AL-03","sq","sqi","Elbasan","",""
"AL","ALB","008","322","AL-04","sq","sqi","Fier","",""
"AL","ALB","008","322","AL-05","sq","sqi","Gjirokastër","",""
"AL","ALB","008","322","AL-06","sq","sqi","Korçë","",""
"AL","ALB","008","322","AL-07","sq","sqi","Kukës","",""
"AL","ALB","008","322","AL-08","sq","sqi","Lezhë","",""
"AL","ALB","008","322","AL-09","sq","sqi","Dibër","",""
"AL","ALB","008","322","AL-10","sq","sqi","Shkodër","",""
"AL","ALB","008","322","AL-11","sq","sqi","Tiranë","",""
"AL","ALB","008","322","AL-12","sq","sqi","Vlorë","",""
"AM","ARM","051","106","AM-AG","hy","hye","Aragac̣otn","","ISO 9985:1996"
"AM","ARM","051","106","AM-AR","hy","hye","Ararat","","ISO 9985:1996"
"AM","ARM","051","106","AM-AV","hy","hye","Armavir","","ISO 9985:1996"
"AM","ARM","051","106","AM-GR","hy","hye","Geġark'unik'","","ISO 9985:1996"
"AM","ARM","051","106","AM-KT","hy","hye","Kotayk'","","ISO 9985:1996"
"AM","ARM","051","106","AM-LO","hy","hye","Loṙi","","ISO 9985:1996"
"AM","ARM","051","106","AM-SH","hy","hye","Širak","","ISO 9985:1996"
"AM","ARM","051","106","AM-SU","hy","hye","Syunik'","","ISO 9985:1996"
"AM","ARM","051","106","AM-TV","hy","hye","Tavuš","","ISO 9985:1996"
"AM","ARM","051","106","AM-VD","hy","hye","Vayoć Jor","","ISO 9985:1996"
"AM","ARM","051","189","AM-ER","hy","hye","Erevan","","ISO 9985:1996"
"AO","AGO","024","155","AO-BGO","pt","por","Bengo","",""
"AO","AGO","024","155","AO-BGU","pt","por","Benguela","",""
"AO","AGO","024","155","AO-BIE","pt","por","Bié","",""
"AO","AGO","024","155","AO-CAB","pt","por","Cabinda","",""
"AO","AGO","024","155","AO-CCU","pt","por","Kuando Kubango","",""
"AO","AGO","024","155","AO-CNN","pt","por","Cunene","",""
"AO","AGO","024","155","AO-CNO","pt","por","Kwanza Norte","",""
"AO","AGO","024","155","AO-CUS","pt","por","Kwanza Sul","",""
