alpha_2_code,alpha_3_code,numeric_code,subdivision_category_id,subdivision_code,subdivision_footnote,subdivision_parent
"AD","AND","020","262","AD-02","*",""
"AD","AND","020","262","AD-03","*",""
"AD","AND","020","262","AD-04","*",""
"AD","AND","020","262","AD-05","*",""
"AD","AND","020","262","AD-06","*",""
"AD","AND","020","262","AD-07","*",""
"AD","AND","020","262","AD-08","*",""
"AE","ARE","784","199","AE-AJ","*",""
"AE","ARE","784","199","AE-AZ","*",""
"AE","ARE","784","199","AE-DU","*",""
"AE","ARE","784","199","AE-FU","*",""
"AE","ARE","784","199","AE-RK","*",""
"AE","ARE","784","199","AE-SH","*",""
"AE","ARE","784","199","AE-UQ","*",""
"AF","AFG","004","321","AF-BAL","*",""
"AF","AFG","004","321","AF-BAM","*",""
"AF","AFG","004","321","AF-BDG","*",""
"AF","AFG","004","321","AF-BDS","*",""
"AF","AFG","004","321","AF-BGL","*",""
"AF","AFG","004","321","AF-DAY","*",""
"AF","AFG","004","321","AF-FRA","*",""
"AF","AFG","004","321","AF-FYB","*",""
"AF","AFG","004","321","AF-GHA","*",""
"AF","AFG","004","321","AF-GHO","*",""
"AF","AFG","004","321","AF-HEL","*",""
"AF","AFG","004","321","AF-HER","*",""
"AF","AFG","004","321","AF-JOW","*",""
"AF","AFG","004","321","AF-KAB","*",""
"AF","AFG","004","321","AF-KAN","*",""
"AF","AFG","004","321","AF-KAP","*",""
"AF","AFG","004","321","AF-KDZ","*",""
"AF","AFG","004","321","AF-KHO","*",""
"AF","AFG","004","321","AF-KNR","*",""
"AF","AFG","004","321","AF-LAG","*",""
"AF","AFG","004","321","AF-LOG","*",""
"AF","AFG","004","321","AF-NAN","*",""
"AF","AFG","004","321","AF-NIM","*",""
"AF","AFG","004","321","AF-NUR","*",""
"AF","AFG","004","321","AF-PAN","*",""
"AF","AFG","004","321","AF-PAR","*",""
"AF","AFG","004","321","AF-PIA","*",""
"AF","AFG","004","321","AF-PKA","*",""
"AF","AFG","004","321","AF-SAM","*",""
"AF","AFG","004","321","AF-SAR","*",""
"AF","AFG","004","321","AF-TAK","*",""
"AF","AFG","004","321","AF-URU","*",""
"AF","AFG","004","321","AF-WAR","*",""
"AF","AFG","004","321","AF-ZAB","*",""
"AG","ATG","028","298","AG-10","*",""
"AG","ATG","028","298","AG-11","*",""
"AG","ATG","028","429","AG-03","*",""
"AG","ATG","028","429","AG-04","*",""
"AG","ATG","028","429","AG-05","*",""
"AG","ATG","028","429","AG-06","*",""
"AG","ATG","028","429","AG-07","*",""
"AG","ATG","028","429","AG-08","*",""
"AL","ALB","008","322","AL-01","",""
"AL","ALB","008","322","AL-02","",""
