alpha_2_code,alpha_3_code,numeric_code,territory_id,language,language_alpha_3_code,territory_name
"AG","ATG","028","1019","en","eng","Redonda Island"
"AG","ATG","028","1019","fr","fra","l'Île Redonda"
"AO","AGO","024","1031","en","eng","Cabinda"
"AO","AGO","024","1031","fr","fra","Cabinda"
"AS","ASM","016","1205","en","eng","Swain's Island"
"AS","ASM","016","1205","fr","fra","l'Île Swains"
"AS","ASM","016","1216","en","eng","Tutuila"
"AS","ASM","016","1216","fr","fra","Tutuila"
"AU","AUS","036","1009","en","eng","Ashmore and Cartier Islands "
"AU","AUS","036","1009","fr","fra","Îles Ashmore-et-Cartier"
"AU","AUS","036","1046","en","eng","Coral Sea Islands "
"AU","AUS","036","1046","fr","fra","Îles de la Mer de Corail"
"AU","AUS","036","1107","en","eng","Lord Howe Island"
"AU","AUS","036","1107","fr","fra","l'Île Lord Howe"
"AU","AUS","036","1111","en","eng","Macquarie Island"
"AU","AUS","036","1111","fr","fra","l'Île Macquarie"
"BA","BIH","070","1082","en","eng","Herzegovina *"
"BA","BIH","070","1082","fr","fra","Herzégovine *"
"BQ","BES","535","1026","en","eng","Bonaire"
"BQ","BES","535","1026","fr","fra","Bonaire"
"BQ","BES","535","1161","en","eng","Saba"
"BQ","BES","535","1161","fr","fra","Saba"
"BQ","BES","535","1167","en","eng","Sint Eustatius "
"BQ","BES","535","1167","fr","fra","Saint-Eustache "
"BR","BRA","076","1060","en","eng","Fernando de Noronha Island"
"BR","BRA","076","1060","fr","fra","l'Île Fernando de Noronha"
"BR","BRA","076","1123","en","eng","Martim Vaz Islands"
"BR","BRA","076","1123","fr","fra","les Îles Martim Vaz"
"BR","BRA","076","1212","en","eng","Trindade Island"
"BR","BRA","076","1212","fr","fra","l'Île de Trindade"
"CK","COK","184","1155","en","eng","Rarotonga"
"CK","COK","184","1155","fr","fra","Rarotonga"
"CL","CHL","152","1053","en","eng","Easter Island"
"CL","CHL","152","1053","fr","fra","Île de Pâques"
"CL","CHL","152","1094","en","eng","Juan Fernández Islands"
"CL","CHL","152","1094","fr","fra"," les Îles Juan Fernández"
"CL","CHL","152","1179","en","eng","Sala y Gómez Island"
"CL","CHL","152","1179","fr","fra"," l'Île Sala y Gómez"
